date,state,update_time,last_check,positives_total,positives_white,positives_black,positives_latinx,positives_asian,positives_aiain,positives_nhpi,positives_multiracial,positives_other,positives_race_unknown,positives_percent_race_unknown,positives_hispanic,positives_nonhispanic,positives_ethnicity_unknown,positives_percent_ethnicity_unknown,total_deaths,deaths_white,deaths_black,deaths_latinx,deaths_asian,deaths_aian,deaths_nhpi,deaths_multiracial,deaths_other,deaths_race_unknown,deaths_percent_race_unknown,deaths_hispanic,deaths_nonhispanic,deaths_ethnicity_unknown,deaths_percent_ethnicity_unknown,negatives_white,negatives_black,negatives_latinx,negatives_asian,negatives_aian,negatives_nhpi,negatives_multiracial,negatives_other,negatives_race_unknown,negatives_percent_race_unknown,negatives_hispanic,negatives_nonhispanic,negatives_ethnicity_unknown,negatives_percent_ethnicity_unknown,,,,,,,,,,,,,,,,,,,
20200610,ND,6/10/20 13:00,6/10/20 22:48,2941,,,,,,,,,2941,100%,,,,,73,,,,,,,,,73,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200610,NE,6/10/20 20:55,6/10/20 23:06,16025,,,,,,,,,16025,100%,,,,,195,,,,,,,,,195,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200610,NH,6/10/20 0:00,6/10/20 23:08,5178,2881,257,387,123,,,,260,1270,25%,387,3521,1270,25%,301,189,6,8,2,,,,11,85,28%,8,208,85,28%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200610,NJ,6/9/20 22:00,6/10/20 23:51,165346,33627,16283,28723,4844,,,,11201,70668,43%,28723,65955,70668,43%,12377,6545,2251,2482,693,,,,207,410,3%,2482,9696,410,3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200610,NM,6/10/20 20:00,6/10/20 22:54,9250,1060,195,2409,60,5130,,,,396,4%,2409,6445,396,4%,410,,,,,,,,,410,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200610,NV,6/10/20 11:40,6/10/20 22:45,10164,2605,794,2337,717,70,,,592,3049,30%,2337,4186,3049,32%,448,206,57,71,65,3,,,12,34,8%,71,331,34,8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200610,NY,6/10/20 12:00,6/10/20 23:53,380156,,,,,,,,,380156,100%,,,,,26195,7965,5833,6187,1573,,,,1757,2880,11%,6187,17128,2880,11%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200610,OH,6/10/20 14:00,6/10/20 23:39,39575,20180,9833,,1232,43,100,1591,2970,3626,9%,3030,27683,8862,22%,2457,1929,446,,24,,,29,15,12,0%,47,2392,19,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200610,OK,6/10/20 0:00,6/10/20 23:21,7480,4813,691,,263,517,,,307,889,12%,1548,4923,1009,13%,355,275,27,,3,24,,,8,18,5%,11,311,33,9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200610,OR,6/10/20 3:01,6/11/20 0:06,5060,2283,161,,176,112,99,88,1519,622,12%,1768,2700,592,12%,169,127,6,,7,3,2,2,12,10,6%,18,137,14,8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200610,PA,6/10/20 12:00,6/10/20 23:39,74684,21900,9600,,1123,,,,498,41563,56%,6000,15000,53684,72%,6062,4245,1216,,142,,,,283,176,3%,336,5550,176,3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200610,PR,6/10/20 20:20,6/10/20 23:16,5329,,,,,,,,,5329,100%,,,,,143,,,,,,,,,143,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200610,RI,6/8/20 0:00,6/10/20 22:52,15756,4209,1468,5350,,,,308,431,3990,25%,5350,6416,3990,25%,812,561,40,69,,,,0,9,133,16%,69,610,133,16%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200610,SC,6/9/20 16:20,6/10/20 22:53,15759,4970,5218,,248,,,,994,4328,27%,1930,9236,4592,29%,575,265,243,,5,,,,5,54,9%,10,456,102,18%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200610,SD,6/9/20 18:00,6/10/20 22:59,5604,1775,931,956,642,657,,,643,0,0%,956,4648,0,,69,,,,,,,,,69,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200610,TN,6/10/20 16:00,6/10/20 22:57,27869,12004,6185,,461,,,,4213,5006,18%,6933,13402,7534,27%,436,245,147,,9,,,,22,13,3%,31,375,30,7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200610,TX,6/10/20 11:30,6/10/20 23:46,79757,4215,2523,6178,518,,,,99,66224,83%,6178,7355,66224,83%,1885,269,85,171,13,,,,5,1342,71%,171,372,1342,71%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200610,UT,6/10/20 15:00,6/10/20 22:24,12864,4491,428,,311,408,508,,1519,1454,16%,5361,6049,1454,11%,128,,,,,,,,,128,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200610,VA,6/9/20 17:00,6/10/20 22:27,52177,16466,7251,,,,,,11925,16535,32%,17556,17316,17305,33%,1514,865,318,,,,,,172,159,11%,146,1122,246,16%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200610,VI,6/10/20 9:59,6/10/20 22:35,72,,,,,,,,,72,100%,,,,,6,,,,,,,,,6,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
