date,state,update_time,last_check,positives_total,positives_white,positives_black,positives_latinx,positives_asian,positives_aiain,positives_nhpi,positives_multiracial,positives_other,positives_race_unknown,positives_percent_race_unknown,positives_hispanic,positives_nonhispanic,positives_ethnicity_unknown,positives_percent_ethnicity_unknown,total_deaths,deaths_white,deaths_black,deaths_latinx,deaths_asian,deaths_aian,deaths_nhpi,deaths_multiracial,deaths_other,deaths_race_unknown,deaths_percent_race_unknown,deaths_hispanic,deaths_nonhispanic,deaths_ethnicity_unknown,deaths_percent_ethnicity_unknown,negatives_white,negatives_black,negatives_latinx,negatives_asian,negatives_aian,negatives_nhpi,negatives_multiracial,negatives_other,negatives_race_unknown,negatives_percent_race_unknown,negatives_hispanic,negatives_nonhispanic,negatives_ethnicity_unknown,negatives_percent_ethnicity_unknown,,,,,,,,,,,,,,,,,,,
20200531,OK,5/31/20 0:00,5/31/20 22:29,6506,4210,619,,172,405,,,263,837,13%,1248,4203,1055,16%,334,255,27,,2,22,,,8,20,6%,10,289,35,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200531,OR,5/31/20 0:00,5/31/20 22:34,4243,1946,97,,139,69,53,73,1166,700,16%,1317,2238,688,16%,153,109,6,,7,3,1,2,10,15,10%,14,116,23,15%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200531,PA,5/31/20 12:00,5/31/20 22:42,71926,19847,8777,,1035,,,,437,41830,58%,5000,13100,53826,75%,5555,3958,1116,,133,,,,257,91,2%,304,5160,91,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200531,PR,5/31/20 5:51,5/31/20 22:55,3776,,,,,,,,,3776,100%,,,,,136,,,,,,,,,136,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200531,RI,5/31/20 0:00,5/31/20 23:02,14928,5374,1940,6717,,,,447,597,,0%,6717,8358,,0%,716,588,43,78,,,,0,7,,0%,78,638,,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200531,SC,5/29/20 15:30,5/31/20 23:07,11861,4243,4445,,202,,,,606,2464,21%,1113,7184,3563,30%,494,234,196,,4,,,,4,53,11%,9,388,96,19%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200531,SD,5/30/20 18:00,5/31/20 23:11,4993,1539,906,881,580,493,,,594,0,0%,881,4112,0,,62,,,,,,,,,62,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200531,TN,5/31/20 15:00,5/31/20 22:16,23006,9934,5202,,411,,,,2799,4660,20%,4930,11275,6801,30%,364,203,127,,7,,,,18,9,2%,23,321,20,5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200531,TX,5/31/20 10:30,5/31/20 22:25,64287,4107,2360,5923,498,,,,96,51303,80%,5923,7061,51303,80%,1672,183,67,122,6,,,,1,1293,77%,122,257,1293,77%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200531,UT,5/31/20 15:00,5/31/20 22:35,9797,3645,318,,240,337,386,,1125,963,14%,3859,4975,963,10%,113,,,,,,,,,113,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200531,VA,5/30/20 17:00,5/31/20 22:44,44607,13744,6266,,,,,,9905,14692,33%,14097,14650,15860,36%,1375,751,282,,,,,,165,177,13%,125,975,275,20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200531,VI,5/29/20 16:58,5/31/20 22:46,69,,,,,,,,,69,100%,,,,,6,,,,,,,,,6,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200531,VT,5/31/20 10:15,5/31/20 22:53,981,893,34,,11,1,,,12,30,3%,27,851,103,10%,55,51,,,2,,,,2,0,0%,0,55,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200531,WA,5/31/20 2:59,5/31/20 23:02,21702,5977,1030,5981,1145,211,374,271,288,6425,30%,5981,9296,6425,30%,1118,721,33,91,96,9,9,13,23,123,11%,91,904,123,11%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200531,WI,5/31/20 0:00,5/31/20 23:08,18403,9565,3534,,681,204,,,2321,2098,11%,6164,9999,2240,12%,592,398,148,,16,9,,,7,14,2%,55,517,20,3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200531,WV,5/31/20 17:00,5/31/20 23:23,1953,1571,138,,,,,,301,0,0%,,,,,75,58,3,,,,,,,14,19%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200531,WY,5/31/20 11:43,5/31/20 23:30,693,322,8,79,4,234,,,18,54,8%,79,586,54,8%,16,,,,,,,,,16,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200527,AK,5/27/20 14:15,5/27/20 22:16,412,264,10,,46,36,14,16,12,14,3%,39,351,22,5%,10,5,0,,2,2,1,0,0,0,0%,0,10,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200527,AL,5/27/20 0:00,5/27/20 22:29,16032,6273,6730,,82,,,,653,2294,14%,1380,11438,3214,20%,583,296,256,,3,,,,7,21,4%,12,502,69,12%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200527,AR,5/27/20 19:13,5/27/20 22:43,6277,3012,2194,,62,22,190,,358,439,7%,673,5604,439,7%,120,65,45,,1,,3,,6,,0%,3,117,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200527,AS,,5/27/20 22:45,,,,,,,,,,,100%,,,,100%,,,,,,,,,,,100%,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200527,AZ,5/27/20 0:00,5/27/20 22:53,17262,3548,555,3572,194,2063,,,400,6930,40%,3572,6760,6930,40%,831,341,23,131,11,136,,,13,176,21%,131,524,176,21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200527,CA,5/27/20 0:00,5/27/20 23:15,98980,14640,3797,37768,6716,139,587,574,5026,29733,30%,37768,31479,29733,30%,3884,1241,369,1383,539,14,28,24,35,251,6%,1383,2250,251,6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200527,CO,5/27/20 0:00,5/27/20 23:20,24767,8661,1483,9032,661,116,99,170,225,4316,17%,9032,11415,4316,17%,1392,890,94,268,53,7,5,10,7,53,4%,268,1066,53,4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200527,CT,5/26/20 20:30,5/27/20 23:22,41288,13951,5248,7316,596,,,,220,13823,34%,7316,13951,13823,39%,3803,2764,560,334,36,,,,13,71,2%,334,2764,71,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200527,DC,5/26/20 0:00,5/27/20 23:33,8406,1293,3839,,104,24,20,,2051,1075,13%,2138,4630,1638,19%,445,50,335,49,7,,,,4,0,0%,49,396,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200527,DE,5/26/20 18:00,5/27/20 22:36,9096,2645,2430,2518,135,,,,465,903,10%,2518,5675,903,10%,344,211,85,23,1,,,,4,20,6%,23,301,20,6%,19817,9600,3369,696,,,,2679,10164,22%,3369,32792,10164,22%,,,,,,,,,,,,,,,,,,,
20200527,FL,5/27/20 10:00,5/27/20 23:42,51283,14569,10135,18127,,,,,1994,6458,13%,18127,24829,8327,16%,2319,1158,492,509,,,,,80,80,3%,509,1636,174,8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200527,GA,5/27/20 19:00,5/27/20 23:18,44638,11215,14609,5385,638,35,26,,955,11775,26%,5385,22701,16552,37%,1933,850,932,81,29,3,2,,8,28,1%,81,1803,49,3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200527,GU,5/27/20 22:00,5/27/20 23:31,171,,,,75,,72,,24,,0%,,,,0%,5,,,,,,,,,5,100%,,,5,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200527,HI,5/27/20 18:00,5/27/20 23:38,644,162,6,,198,,102,114,12,50,8%,,,,,17,,,,,,,,,17,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200527,IA,5/27/20 0:00,5/27/20 23:46,18445,10514,2213,,1660,,,,4058,,0%,4795,10514,3135,17%,496,381,24,,14,4,9,,,59,12%,29,401,69,14%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200527,ID,5/27/20 0:00,5/27/20 23:54,2731,1432,45,,44,29,5,120,293,758,28%,560,1329,841,31%,82,79,1,,2,,,,,0,0%,4,78,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200527,IL,5/27/20 0:00,5/27/20 23:57,114306,22289,19135,35369,3319,182,282,,4179,29551,26%,35369,49386,29551,26%,5083,2166,1517,984,247,7,4,,36,36,1%,984,3977,122,2%,172478,52391,38991,9304,396,590,,24517,391000,57%,38991,235159,391000,59%,,,,,,,,,,,,,,,,,,,
20200527,IN,5/26/20 23:59,5/27/20 23:57,32437,14272,4411,,454,,,,5644,7655,24%,3600,11190,17613,54%,1871,1227,282,,9,,,,220,130,7%,31,1049,789,42%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200527,KS,5/27/20 13:30,5/27/20 22:58,9337,5717,937,,582,51,,,230,1820,19%,3972,3718,1647,18%,205,136,59,,4,1,,,1,4,2%,21,177,7,3%,40314,3551,,901,333,,,3940,27626,36%,5702,36709,34254,45%,,,,,,,,,,,,,,,,,,,
20200527,KY,5/27/20 17:00,5/27/20 23:43,9077,4755,936,,357,5,5,350,,2669,29%,908,5253,2916,32%,400,279,66,,7,,,5,,43,11%,10,326,64,16%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200527,LA,5/25/20 0:00,5/27/20 23:09,38497,,,,,,,,,38497,100%,,,,,2722,1158,1468,,21,2,2,,19,52,2%,51,2273,398,15%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200527,MA,5/27/20 10:00,5/27/20 23:22,94220,24402,8385,16959,1790,,,,4239,38441,41%,16959,38816,38441,41%,6547,2717,333,405,117,,,,216,2762,42%,405,3383,2762,42%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200527,MD,5/27/20 10:00,5/27/20 23:28,48423,9575,14217,11956,917,,,,2341,9417,19%,11956,27050,9417,19%,2392,1007,980,211,91,,,,27,76,3%,211,2105,76,3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200527,ME,5/27/20 14:00,5/27/20 23:32,2137,1303,350,,29,3,,10,49,393,18%,61,1469,607,28%,81,,,,,,,,,81,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200527,MI,5/27/20 11:00,5/27/20 23:56,55608,20574,17238,,1112,278,,4448,2780,9453,17%,3892,35033,16682,30%,5334,2720,2133,,53,26,,106,106,213,4%,106,4320,906,17%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200527,MN,5/26/20 17:00,5/27/20 23:54,22464,7704,5121,,1176,176,43,424,2613,5207,23%,4255,12413,5796,26%,932,583,57,,21,10,0,4,5,252,27%,22,619,291,31%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200527,MO,5/27/20 15:00,5/27/20 23:53,12492,5319,3978,,,,,307,720,2159,17%,1004,8268,3218,26%,696,401,254,,,,,4,18,18,3%,14,597,84,12%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200527,MP,5/28/20 0:00,5/27/20 22:20,22,,,,,,,,,22,100%,,,,,2,,,,,,,,,2,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200527,MS,5/26/20 19:00,5/27/20 22:24,14044,4052,7556,784,53,554,,,456,589,4%,784,11088,2172,15%,670,287,347,9,0,25,,,2,0,0%,9,634,27,4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200527,MT,5/27/20 12:00,5/27/20 22:27,481,437,2,,1,32,,,4,5,1%,19,443,19,4%,16,12,,,,4,,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200527,NC,5/27/20 11:20,5/27/20 22:33,24628,9804,5646,,532,184,64,,2079,6319,26%,6116,11109,7403,30%,794,443,266,,10,3,1,,30,41,5%,40,622,132,17%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200527,ND,5/27/20 13:00,5/27/20 22:38,2439,,,,,,,,,2439,100%,,,,,56,,,,,,,,,56,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200527,NE,5/26/20 19:45,5/27/20 22:41,12976,,,,,,,,,12976,100%,,,,,163,,,,,,,,,163,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200527,NH,5/18/20 0:00,5/27/20 22:45,4286,1981,150,233,80,,,,253,1589,37%,233,2464,1589,37%,223,88,0,4,0,,,,10,121,54%,4,98,121,54%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200527,NJ,5/26/20 22:00,5/27/20 23:01,156628,30504,14898,25657,4294,,,,10188,71087,45%,25657,59884,71087,45%,11339,5835,2029,2125,597,,,,369,384,3%,2125,8830,384,3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200527,NM,5/27/20 18:29,5/27/20 23:04,7252,865,187,1696,49,4178,,,,277,4%,1696,5279,277,4%,329,,,,,,,,,329,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200527,NV,5/27/20 11:00,5/27/20 23:50,8113,1902,610,2025,605,45,,,,2926,36%,2025,3162,2926,36%,402,186,51,61,60,2,,,,42,10%,61,299,42,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200527,NY,5/27/20 13:00,5/27/20 22:16,364965,,,,,,,,,364965,100%,,,,,23532,7635,5646,5850,1546,,,,1723,1132,5%,5850,16550,1132,5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200527,OH,5/27/20 0:00,5/27/20 22:36,33439,17219,8491,,818,32,94,1208,2209,3368,10%,2282,22554,8603,26%,2044,1627,355,,16,,,22,8,15,1%,35,1986,23,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200527,OK,5/27/20 0:00,5/27/20 22:36,6229,4036,584,,163,380,,,248,818,13%,1208,4118,903,14%,322,249,27,,2,21,,,7,16,5%,9,284,29,9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200527,OR,5/27/20 0:00,5/27/20 22:49,4038,1946,97,,139,69,53,73,1166,495,12%,1317,2238,483,12%,148,109,6,,7,3,1,2,10,10,7%,14,116,18,12%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200527,PA,5/27/20 12:00,5/27/20 23:02,69417,18760,8427,,976,,,,402,40852,59%,,,,,5265,3615,1010,,125,,,,234,281,5%,268,4716,281,5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200527,PR,5/27/20 6:10,5/27/20 22:53,3397,,,,,,,,,3397,100%,,,,,129,,,,,,,,,129,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200527,RI,5/27/20 0:00,5/27/20 23:17,14353,5310,1865,6315,,,,430,574,,0%,6315,8179,,0%,654,537,39,72,,,,0,6,,0%,72,582,,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200527,SC,5/26/20 16:26,5/27/20 23:12,10623,3950,4138,,188,,,,470,1876,18%,935,6831,2855,27%,466,176,223,,4,,,,4,61,13%,4,359,98,21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200527,SD,5/26/20 18:00,5/27/20 23:15,4710,1434,895,819,555,440,,,567,0,0%,819,3891,0,,54,,,,,,,,,54,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200527,TN,5/27/20 15:00,5/27/20 22:21,21306,8465,4383,,397,,,,2316,5745,27%,4118,10507,6681,31%,353,199,121,,7,,,,17,9,3%,22,313,18,5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200527,TX,5/27/20 10:30,5/27/20 22:26,57921,4065,2315,5873,498,,,,96,45074,78%,5873,6974,45074,78%,1562,181,67,122,6,,,,2,1184,76%,122,256,1184,76%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200527,UT,5/27/20 15:00,5/27/20 22:31,8706,3350,281,,208,309,334,,986,805,13%,3363,4538,805,9%,105,,,,,,,,,105,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200527,VA,5/27/20 17:00,5/27/20 22:38,40249,12659,5732,,,,,,8914,12944,32%,12705,13559,13985,35%,1281,706,261,,,,,,149,165,13%,114,917,250,20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200527,VI,5/27/20 8:07,5/27/20 22:44,69,,,,,,,,,69,100%,,,,,6,,,,,,,,,6,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200527,VT,5/27/20 22:56,5/27/20 22:52,971,884,30,,11,1,,,12,33,3%,27,838,106,11%,54,50,,,2,,,,2,0,0%,0,54,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200527,WA,5/27/20 2:59,5/27/20 23:09,20406,5841,1012,5587,1122,195,352,265,274,5758,28%,5587,9061,5758,28%,1095,688,31,88,92,8,7,13,21,147,13%,88,860,147,13%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200527,WI,5/27/20 0:00,5/27/20 23:14,16462,8576,3234,,618,186,,,2092,1756,11%,5470,9154,1838,11%,539,361,141,,14,9,,,2,12,2%,47,480,12,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200527,WV,5/27/20 17:00,5/27/20 23:23,1851,1494,130,,,,,,275,0,0%,,,,,74,58,3,,,,,,,13,18%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200527,WY,5/27/20 18:09,5/27/20 23:30,653,316,7,73,5,210,,,18,54,8%,73,556,54,8%,14,,,,,,,,,14,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200524,AK,5/24/20 13:45,5/24/20 22:18,408,263,10,,46,33,14,15,12,15,4%,39,348,21,5%,10,,,,,,,,,10,100%,,,10,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200524,AL,5/24/20 0:00,5/24/20 22:25,14478,5796,5972,,79,,,,581,2047,14%,1221,10385,2870,20%,551,281,239,,3,,,,7,21,4%,12,471,68,12%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200524,AR,5/24/20 19:13,5/24/20 22:34,5922,2862,2110,,61,22,172,,321,374,6%,544,5378,374,6%,116,64,44,,1,,2,,5,,0%,3,113,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200524,AS,,5/25/20 0:23,,,,,,,,,,,100%,,,,100%,,,,,,,,,,,100%,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200524,AZ,5/24/20 0:00,5/24/20 22:48,16339,3452,529,3312,181,1929,,,382,6554,40%,3312,6473,6554,40%,800,335,23,126,11,132,,,12,161,20%,126,513,161,20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200524,CA,5/24/20 0:00,5/24/20 22:48,92710,14218,3660,35760,6518,126,565,562,3780,27521,30%,35760,29429,27521,30%,3774,1228,360,1357,528,14,28,24,35,200,5%,1357,2217,200,5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200524,CO,5/24/20 0:00,5/24/20 22:54,24174,8472,1448,8763,647,113,99,166,215,4244,18%,8763,11160,4244,18%,1332,851,92,256,51,7,3,9,7,51,4%,256,1020,51,4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200524,CT,5/23/20 20:30,5/24/20 22:59,40468,13557,5156,7185,589,,,,215,13647,34%,7185,13557,13647,40%,3693,2689,542,324,36,,,,13,72,2%,324,2689,72,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200524,DC,5/23/20 0:00,5/24/20 23:08,8110,1255,3757,,103,22,20,,1961,992,12%,2058,4529,1523,19%,432,46,326,49,7,,,,4,0,0%,49,383,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200524,DE,5/23/20 18:00,5/24/20 22:18,8809,2523,2337,2431,127,,,,449,942,11%,2431,5436,942,11%,326,198,79,24,1,,,,4,20,6%,24,282,20,6%,18383,8948,3213,628,,,,2492,9397,22%,3213,30451,9397,22%,,,,,,,,,,,,,,,,,,,
20200524,FL,5/24/20 10:00,5/24/20 22:27,50867,14152,9759,17365,,,,,1949,7642,15%,17365,24038,9464,19%,2237,1120,474,488,,,,,77,78,3%,488,1580,169,8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200524,GA,5/24/20 20:42,5/24/20 22:34,42902,10674,14141,4857,597,35,22,,927,11649,27%,4857,21702,16343,38%,1827,799,889,76,28,3,2,,6,24,1%,76,1709,42,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200524,GU,5/23/20 22:00,5/24/20 22:40,166,,,,72,,71,,23,,0%,,,,0%,5,,,,,,,,,5,100%,,,5,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200524,HI,5/22/20 0:00,5/24/20 22:46,643,162,6,,198,,102,114,12,49,8%,,,,,17,,,,,,,,,17,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200524,IA,5/24/20 0:00,5/24/20 23:02,17250,9833,2070,,1725,,,,3622,,0%,4485,9833,2932,17%,456,346,22,,13,4,9,,,54,12%,22,369,63,14%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200524,ID,5/23/20 19:00,5/24/20 23:10,2626,1403,41,,44,25,3,93,270,743,28%,502,1299,824,31%,79,75,1,,2,,,,,1,1%,4,74,1,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200524,IL,5/24/20 0:00,5/24/20 23:17,110304,21659,18605,34106,3234,181,278,,4037,28204,26%,34106,47994,28204,26%,4856,2070,1469,923,236,7,3,,36,36,1%,923,3821,112,2%,160058,48727,36140,8816,349,509,,23170,359848,56%,36140,218459,359848,59%,,,,,,,,,,,,,,,,,,,
20200524,IN,5/23/20 23:59,5/24/20 23:20,31376,14025,4361,,439,,,,5428,7153,23%,3482,10950,16974,54%,1824,1200,277,,9,,,,213,122,7%,27,1028,767,42%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200524,KS,5/22/20 10:00,5/24/20 22:25,8958,5425,911,,562,37,,,212,1811,20%,3769,3551,1638,18%,185,117,56,,3,1,,,1,7,4%,15,158,12,6%,35552,3153,,797,276,,,3344,25460,37%,5071,32250,31261,46%,,,,,,,,,,,,,,,,,,,
20200524,KY,5/23/20 17:00,5/24/20 22:35,8571,4598,903,,353,6,6,331,,2374,28%,852,5090,2629,31%,391,273,66,,6,,,6,,40,10%,9,320,62,16%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200524,LA,5/18/20 0:00,5/24/20 22:44,37169,,,,,,,,,37169,100%,,,,,2690,1092,1418,,21,2,2,,19,136,5%,47,2142,501,19%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200524,MA,5/24/20 16:00,5/24/20 22:50,92675,23817,8155,16681,1760,,,,4077,38182,41%,16681,37809,38182,41%,6372,2631,318,401,114,,,,210,2695,42%,401,3273,2695,42%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200524,MD,5/24/20 10:00,5/24/20 22:55,46313,9232,13762,11383,889,,,,2272,8775,19%,11383,26155,8775,19%,2277,957,936,198,87,,,,28,71,3%,198,2008,71,3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200524,ME,5/20/20 13:30,5/24/20 23:00,2055,1145,235,,28,3,,4,42,598,29%,54,1212,789,38%,78,,,,,,,,,78,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200524,MI,5/24/20 11:00,5/24/20 23:08,54679,20231,16950,,1093,273,,4374,2733,9295,17%,3280,34447,16950,31%,5228,2666,2091,,52,26,,104,104,209,4%,104,4234,888,17%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200524,MN,5/23/20 17:00,5/24/20 23:12,20573,6982,4683,,1001,153,34,377,2270,5073,25%,3666,11240,5667,28%,869,543,51,,20,10,0,4,4,237,27%,19,577,273,31%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200524,MO,5/24/20 15:00,5/24/20 23:44,11988,5115,3860,,,,,294,678,2031,17%,965,7982,3039,25%,681,390,250,,,,,4,18,18,3%,14,584,82,12%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200524,MP,5/24/20 0:00,5/24/20 22:15,22,,,,,,,,,22,100%,,,,,2,,,,,,,,,2,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200524,MS,5/23/20 19:00,5/24/20 22:21,13252,3859,7121,722,51,485,,,539,475,4%,722,10436,2094,16%,625,268,327,8,0,21,,,1,0,0%,8,599,18,3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200524,MT,5/24/20 12:00,5/24/20 22:33,479,437,2,,1,30,,,5,4,1%,19,441,19,4%,16,12,,,,4,,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200524,NC,5/24/20 11:15,5/24/20 22:39,23222,9266,5412,,491,177,59,,1912,5905,25%,5557,10649,7016,30%,744,413,253,,9,2,1,,27,39,5%,34,590,120,16%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200524,ND,5/24/20 13:00,5/24/20 22:41,2418,,,,,,,,,2418,100%,,,,,53,,,,,,,,,53,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200524,NE,5/24/20 18:55,5/24/20 22:45,12134,,,,,,,,,12134,100%,,,,,150,,,,,,,,,150,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200524,NH,5/18/20 0:00,5/24/20 22:53,4149,1981,150,233,80,,,,253,1452,35%,233,2464,1452,35%,209,88,0,4,0,,,,10,107,51%,4,98,107,51%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200524,NJ,5/22/20 22:00,5/24/20 23:15,154154,29952,14600,25130,4216,,,,9566,70690,46%,25130,58334,70690,46%,11133,5749,1992,2078,581,,,,366,734,6%,2078,8688,734,6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200524,NM,5/24/20 17:03,5/24/20 23:20,6943,825,181,1592,45,4015,,,,285,4%,1592,5066,285,4%,317,,,,,,,,,317,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200524,NV,5/24/20 18:30,5/24/20 23:25,7770,1865,607,2008,602,37,,,,2651,34%,2008,3111,2651,34%,394,180,51,61,60,1,,,,41,10%,61,292,41,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200524,NY,5/24/20 13:15,5/24/20 22:32,361515,,,,,,,,,361515,100%,,,,,23391,7532,5585,5768,1526,,,,1742,1238,5%,5768,16385,1238,5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
